	Ribo	Proba_0	Proba_1
SRR2044127_output	0.0	0.6254148268598	0.3745851731401999
SRR2044126_output	0.0	0.6444093118971194	0.3555906881028806
SRR2044125_output	0.0	0.660365819107925	0.3396341808920748
SRR2044124_output	0.0	0.6430867312519581	0.3569132687480419
SRR2044123_output	0.0	0.660784423759088	0.339215576240912
SRR2044122_output	0.0	0.6712274800782151	0.32877251992178474
SRR2044121_output	0.0	0.6548371230583473	0.3451628769416526
SRR2044120_output	0.0	0.6798219089052021	0.3201780910947976
SRR2044119_output	0.0	0.6897999868603893	0.31020001313961026
SRR2044118_output	0.0	0.6877929172149497	0.31220708278505005
SRR2044117_output	0.0	0.6508032480582852	0.34919675194171484
SRR2044116_output	0.0	0.6505628634429005	0.3494371365570995
SRR2044115_output	0.0	0.6505628634429005	0.3494371365570995
SRR2044114_output	0.0	0.6546417909807293	0.34535820901927056
SRR2044113_output	0.0	0.6647468599231763	0.3352531400768235
SRR2044112_output	0.0	0.6500720966586564	0.3499279033413433
SRR2044111_output	0.0	0.6712274800782151	0.32877251992178474
SRR2044110_output	0.0	0.6316174009978288	0.368382599002171
