	Ribo	Proba_0	Proba_1
SRR8530671_output	1.0	0.41682765032279784	0.5831723496772022
SRR8530669_output	1.0	0.4355955035076275	0.5644044964923726
SRR8530668_output	1.0	0.42605475999537823	0.5739452400046218
SRR8530667_output	1.0	0.3899687445938158	0.6100312554061842
SRR8530666_output	1.0	0.39885653440543417	0.6011434655945659
SRR8530665_output	1.0	0.4269660638475415	0.5730339361524586
SRR8530664_output	1.0	0.40688057029163943	0.5931194297083606
SRR8530663_output	1.0	0.40757906487922485	0.5924209351207752
SRR8530662_output	1.0	0.43464242139175824	0.5653575786082417
SRR8530661_output	1.0	0.46245895816124233	0.5375410418387577
SRR8530660_output	1.0	0.43589680682804977	0.5641031931719503
SRR8530659_output	1.0	0.4079861838839804	0.5920138161160197
SRR8530658_output	1.0	0.4271852693932538	0.5728147306067463
SRR8530657_output	1.0	0.4079861838839804	0.5920138161160197
SRR8530656_output	1.0	0.4450421059733489	0.5549578940266512
SRR8530655_output	1.0	0.4266832372144801	0.5733167627855199
SRR8530654_output	1.0	0.38934408256767333	0.6106559174323266
SRR8530653_output	1.0	0.40821607589610237	0.5917839241038976
SRR8530652_output	1.0	0.4084603641143375	0.5915396358856625
SRR8530651_output	1.0	0.4264213637110705	0.5735786362889295
SRR8530648_output	1.0	0.39912298734233737	0.6008770126576626
SRR8530647_output	1.0	0.4082071469792571	0.5917928530207429
SRR8530646_output	1.0	0.39916728109827326	0.6008327189017267
SRR8530644_output	1.0	0.39905290423073553	0.6009470957692645
SRR8530643_output	1.0	0.40843687646194765	0.5915631235380523
SRR8530642_output	1.0	0.43523006375772794	0.564769936242272
SRR8530640_output	1.0	0.3986327697622328	0.6013672302377673
SRR8530639_output	1.0	0.3806668576227114	0.6193331423772885
SRR8530638_output	1.0	0.39905290423073553	0.6009470957692645
SRR8530637_output	1.0	0.40886431887333885	0.5911356811266611
