	Ribo	Proba_0	Proba_1
SRR5693406_output	1.0	0.4185121517664875	0.5814878482335125
SRR5693405_output	1.0	0.42759051089200945	0.5724094891079906
SRR5693403_output	1.0	0.41861431638277447	0.5813856836172256
SRR5693402_output	1.0	0.43613172750431295	0.5638682724956872
SRR5693401_output	1.0	0.41780795987104746	0.5821920401289525
SRR5693400_output	1.0	0.40889534281190665	0.5911046571880935
SRR5693399_output	1.0	0.436626491379586	0.5633735086204141
SRR5693398_output	1.0	0.4369742378600311	0.5630257621399689
SRR5693397_output	1.0	0.42734824883037237	0.5726517511696277
SRR5693396_output	1.0	0.4185652583513629	0.5814347416486371
SRR5693395_output	1.0	0.418907788252217	0.581092211747783
SRR5693394_output	1.0	0.46424383078017667	0.5357561692198233
SRR5693393_output	1.0	0.43643316045025243	0.5635668395497476
SRR5693392_output	1.0	0.46488666141882573	0.5351133385811743
SRR5693391_output	1.0	0.418907788252217	0.581092211747783
SRR5693390_output	1.0	0.41862354067295837	0.5813764593270416
SRR5693389_output	1.0	0.41862354067295837	0.5813764593270416
SRR5693388_output	1.0	0.42770189979848033	0.5722981002015197
SRR5693387_output	1.0	0.42749417794935274	0.5725058220506473
SRR5693386_output	1.0	0.42749417794935274	0.5725058220506473
SRR5693385_output	1.0	0.44491506524546204	0.555084934754538
SRR5693384_output	1.0	0.42749417794935274	0.5725058220506473
SRR5693383_output	1.0	0.4094703875198052	0.5905296124801949
SRR5693382_output	1.0	0.4282495297026172	0.5717504702973829
SRR5693381_output	1.0	0.46524453975200913	0.5347554602479909
SRR5693380_output	1.0	0.4745357163649514	0.5254642836350487
SRR5693379_output	1.0	0.41834313586062954	0.5816568641393706
SRR5693378_output	1.0	0.4367436640451626	0.5632563359548375
SRR5693376_output	1.0	0.4369742378600311	0.5630257621399689
SRR5693375_output	1.0	0.4369742378600311	0.5630257621399689
SRR5693374_output	1.0	0.4369742378600311	0.5630257621399689
SRR5693373_output	1.0	0.446788515629939	0.5532114843700611
SRR5693372_output	1.0	0.4372912939492995	0.5627087060507006
SRR5693371_output	1.0	0.4454472919236451	0.554552708076355
SRR5693370_output	1.0	0.4449744560471395	0.5550255439528606
SRR5693369_output	1.0	0.44550039850852036	0.5544996014914796
SRR5693368_output	1.0	0.44550039850852036	0.5544996014914796
SRR5693367_output	1.0	0.42722982464561915	0.572770175354381
SRR5693365_output	1.0	0.4368163470083639	0.5631836529916362
SRR5693364_output	1.0	0.42759051089200945	0.5724094891079906
SRR5693363_output	1.0	0.42819124738102166	0.5718087526189783
SRR5693362_output	1.0	0.4463159793104313	0.5536840206895687
SRR5693361_output	1.0	0.41862354067295837	0.5813764593270416
SRR5693360_output	1.0	0.41862354067295837	0.5813764593270416
SRR5693359_output	1.0	0.4359326918004572	0.564067308199543
SRR5693358_output	1.0	0.4271497013214477	0.5728502986785524
SRR5693357_output	1.0	0.4271497013214477	0.5728502986785524
SRR5693356_output	1.0	0.4179965481682945	0.5820034518317055
SRR5693355_output	1.0	0.41780795987104746	0.5821920401289525
SRR5693354_output	1.0	0.42749417794935274	0.5725058220506473
SRR5693353_output	1.0	0.40918998270747636	0.5908100172925237
SRR5693352_output	1.0	0.4267945024814876	0.5732054975185125
SRR5693351_output	1.0	0.40928179922255814	0.5907182007774419
SRR5693350_output	1.0	0.4369742378600311	0.5630257621399689
SRR5693349_output	1.0	0.42819124738102166	0.5718087526189783
SRR5693348_output	1.0	0.4369742378600311	0.5630257621399689
SRR5693347_output	1.0	0.45546084030116724	0.5445391596988327
SRR5693346_output	1.0	0.44550039850852036	0.5544996014914796
SRR5693345_output	1.0	0.45484213995892064	0.5451578600410794
SRR5693344_output	1.0	0.44555868083011596	0.5544413191698842
SRR5693343_output	1.0	0.41806478970156763	0.5819352102984324
SRR5693342_output	1.0	0.418907788252217	0.581092211747783
SRR5693340_output	1.0	0.4375329888314219	0.5624670111685781
SRR5693339_output	1.0	0.446052596985553	0.553947403014447
SRR5693338_output	1.0	0.4369742378600311	0.5630257621399689
SRR5693337_output	1.0	0.4369742378600311	0.5630257621399689
SRR5693336_output	1.0	0.4185652583513629	0.5814347416486371
SRR5693335_output	1.0	0.43673380328005473	0.5632661967199454
SRR5693334_output	1.0	0.44534250765685324	0.5546574923431469
SRR5693333_output	1.0	0.43611667154049877	0.5638833284595013
SRR5693332_output	1.0	0.42759051089200945	0.5724094891079906
SRR5693331_output	1.0	0.4367756903511065	0.5632243096488936
SRR5693330_output	1.0	0.4268863189965694	0.5731136810034306
SRR5693329_output	1.0	0.4368348370555598	0.5631651629444402
