	Ribo	Proba_0	Proba_1
SRR2225773_output	0.0	0.5464376205380632	0.45356237946193695
SRR2225772_output	1.0	0.49233612111682823	0.5076638788831719
SRR2225771_output	0.0	0.5100333707838384	0.48996662921616185
SRR2225770_output	0.0	0.5101919171174342	0.48980808288256605
SRR2225769_output	1.0	0.4832628500285719	0.5167371499714283
SRR2225768_output	1.0	0.4545871268909677	0.5454128731090322
SRR2225767_output	0.0	0.5002960786771763	0.49970392132282365
SRR2225766_output	0.0	0.5105026439500243	0.4894973560499758
SRR2225765_output	0.0	0.5202991287743186	0.47970087122568145
SRR2225764_output	0.0	0.5110806580212877	0.4889193419787125
SRR2225763_output	0.0	0.5197211147030553	0.4802788852969448
SRR2225762_output	0.0	0.5193352095054794	0.48066479049452077
SRR2225761_output	0.0	0.5197088103265832	0.480291189673417
SRR2225760_output	0.0	0.5014664569770599	0.4985335430229403
SRR2225759_output	0.0	0.5009824334232441	0.4990175665767561
SRR2225758_output	0.0	0.5017138800698285	0.49828611993017163
SRR2225757_output	1.0	0.46373242603626685	0.536267573963733
SRR2225756_output	1.0	0.4727363741743055	0.5272636258256944
SRR2225755_output	0.0	0.528222312041668	0.4717776879583321
SRR2225754_output	0.0	0.5191592311525038	0.48084076884749627
SRR2225753_output	0.0	0.5197261742156056	0.4802738257843945
SRR2225752_output	0.0	0.5196370186420531	0.48036298135794697
SRR2225751_output	0.0	0.5281631792905425	0.47183682070945765
SRR2225750_output	1.0	0.4819117544603482	0.5180882455396518
SRR2225749_output	1.0	0.49083094489453427	0.5091690551054658
SRR2225748_output	0.0	0.5186119195782757	0.48138808042172443
