	Ribo	Proba_0	Proba_1
SRR034203_output	1.0	0.46365915485679493	0.5363408451432051
SRR034202_output	1.0	0.41784983189274266	0.5821501681072574
SRR034194_output	1.0	0.48258960472904144	0.5174103952709586
SRR034164_output	1.0	0.44521578342324075	0.5547842165767594
SRR032278_output	1.0	0.46365915485679493	0.5363408451432051
SRR032277_output	1.0	0.44521578342324075	0.5547842165767594
SRR032276_output	1.0	0.46389689093733644	0.5361031090626637
SRR032275_output	1.0	0.44528846638644204	0.5547115336135581
SRR032274_output	1.0	0.41784983189274266	0.5821501681072574
SRR032273_output	0.0	0.5106421011304293	0.4893578988695709
SRR032272_output	1.0	0.46377579774197386	0.5362242022580263
SRR032271_output	1.0	0.4545522746103783	0.5454477253896218
SRR032270_output	1.0	0.48258960472904144	0.5174103952709586
SRR032269_output	1.0	0.46340974249053496	0.5365902575094651
SRR032268_output	1.0	0.44547235742822155	0.5545276425717787
SRR032267_output	1.0	0.4549204379870899	0.5450795620129102
SRR032266_output	1.0	0.4729920068924757	0.5270079931075243
SRR032265_output	1.0	0.45409293331801487	0.5459070666819853
SRR032264_output	1.0	0.46406549293214483	0.5359345070678552
SRR032263_output	1.0	0.46390425466191404	0.536095745338086
SRR032262_output	1.0	0.4177680923889019	0.5822319076110981
SRR032261_output	0.0	0.5100363374308391	0.489963662569161
SRR032260_output	1.0	0.46377579774197386	0.5362242022580263
SRR032259_output	1.0	0.4736033080581953	0.5263966919418047
SRR032258_output	1.0	0.4641165927296795	0.5358834072703207
SRR032257_output	1.0	0.47281183377800995	0.5271881662219902
SRR032256_output	1.0	0.4636595912471067	0.5363404087528933
SRR032255_output	1.0	0.44528846638644204	0.5547115336135581
SRR032254_output	1.0	0.44626491744242186	0.5537350825575781
SRR032253_output	1.0	0.4920906394137271	0.5079093605862729
SRR032252_output	1.0	0.454715125757444	0.5452848742425561
SRR032251_output	1.0	0.44521578342324075	0.5547842165767594
SRR032250_output	1.0	0.46406549293214483	0.5359345070678552
SRR032249_output	1.0	0.42717497391681464	0.5728250260831854
SRR032248_output	1.0	0.43614341144138713	0.563856588558613
SRR032247_output	1.0	0.4823097946556548	0.5176902053443453
SRR032246_output	1.0	0.46377579774197386	0.5362242022580263
SRR032245_output	1.0	0.4920906394137271	0.5079093605862729
SRR032244_output	1.0	0.4542937353146982	0.5457062646853018
SRR032243_output	1.0	0.4732176314669151	0.526782368533085
SRR032242_output	1.0	0.47301861804271256	0.5269813819572875
SRR032241_output	0.0	0.5195741525568895	0.48042584744311073
SRR032240_output	1.0	0.4917956445884154	0.5082043554115847
SRR032239_output	1.0	0.4634833837862775	0.5365166162137226
SRR032238_output	1.0	0.47263395606981534	0.5273660439301847
