	Ribo	Proba_0	Proba_1
SRR8530671_output	1.0	0.4807196800406342	0.5192803199593657
SRR8530669_output	0.0	0.5369216777633992	0.46307832223660095
SRR8530668_output	1.0	0.4604200589417339	0.5395799410582662
SRR8530667_output	1.0	0.4950334221514923	0.5049665778485076
SRR8530666_output	1.0	0.47848725198475883	0.5215127480152411
SRR8530665_output	0.0	0.5036407078865882	0.49635929211341173
SRR8530664_output	1.0	0.46881357695668924	0.5311864230433109
SRR8530663_output	1.0	0.46071633248173677	0.5392836675182632
SRR8530662_output	0.0	0.5166958431323408	0.48330415686765926
SRR8530661_output	0.0	0.5137544419684847	0.4862455580315153
SRR8530660_output	1.0	0.48920478922459437	0.5107952107754057
SRR8530659_output	1.0	0.4980394917195629	0.501960508280437
SRR8530658_output	0.0	0.5196876025569871	0.4803123974430129
SRR8530657_output	0.0	0.5361347870845902	0.46386521291540994
SRR8530656_output	0.0	0.5093494195177208	0.4906505804822791
SRR8530655_output	0.0	0.5151082678218741	0.48489173217812587
SRR8530654_output	1.0	0.4750349160312892	0.5249650839687109
SRR8530653_output	1.0	0.48365245009382013	0.5163475499061798
SRR8530652_output	1.0	0.45791968058694316	0.5420803194130569
SRR8530651_output	0.0	0.5083942040358469	0.49160579596415316
SRR8530648_output	0.0	0.5236723740093638	0.4763276259906361
SRR8530647_output	1.0	0.49670527498654854	0.5032947250134514
SRR8530646_output	1.0	0.44642869646116295	0.553571303538837
SRR8530644_output	1.0	0.49133064525491243	0.5086693547450876
SRR8530643_output	1.0	0.4843633984398396	0.5156366015601603
SRR8530642_output	1.0	0.4943204148170535	0.5056795851829465
SRR8530640_output	1.0	0.4928661930404602	0.5071338069595398
SRR8530639_output	1.0	0.4784772475044879	0.521522752495512
SRR8530638_output	1.0	0.4852602029024336	0.5147397970975665
SRR8530637_output	0.0	0.5144080950393094	0.48559190496069055
