	Ribo	Proba_0	Proba_1
SRR2225773_output	0.0	0.5908543197150234	0.40914568028497633
SRR2225772_output	0.0	0.5927279734906591	0.4072720265093408
SRR2225771_output	0.0	0.6017605178075488	0.3982394821924511
SRR2225770_output	0.0	0.6093545943979092	0.39064540560209066
SRR2225769_output	0.0	0.6248567324357321	0.37514326756426775
SRR2225768_output	0.0	0.6259575076295305	0.3740424923704693
SRR2225767_output	0.0	0.62534198483239	0.37465801516761
SRR2225766_output	0.0	0.6097212792793464	0.39027872072065356
SRR2225765_output	0.0	0.5946053292253193	0.4053946707746806
SRR2225764_output	0.0	0.6233256500699959	0.37667434993000404
SRR2225763_output	0.0	0.6364639198306205	0.3635360801693794
SRR2225762_output	0.0	0.605852781261632	0.39414721873836783
SRR2225761_output	0.0	0.5660945340818053	0.43390546591819457
SRR2225760_output	0.0	0.57867201546054	0.42132798453945997
SRR2225759_output	0.0	0.5961704202815254	0.40382957971847444
SRR2225758_output	0.0	0.5979823045179785	0.4020176954820212
SRR2225757_output	0.0	0.6064319782024811	0.3935680217975189
SRR2225756_output	0.0	0.6036712682881603	0.3963287317118395
SRR2225755_output	0.0	0.6253028352342567	0.3746971647657432
SRR2225754_output	0.0	0.5858128524799963	0.4141871475200036
SRR2225753_output	0.0	0.5419458454752313	0.4580541545247687
SRR2225752_output	0.0	0.575777642532358	0.42422235746764186
SRR2225751_output	0.0	0.6059751994973568	0.39402480050264294
SRR2225750_output	0.0	0.5954102609890514	0.4045897390109485
SRR2225749_output	0.0	0.6230055859625565	0.3769944140374433
SRR2225748_output	0.0	0.6134674646377337	0.38653253536226606
